中国A股现金流量表 - 数据字典
NET_INCR_DISP_FAAS (处置可供出售金融资产净增加额): 企业对交易性金融资产和持有至到期投资以外的其他债券证券和权益证券的处置所产生的增加净额;反映证券公司本期自行买卖可供出售金融资产所取得的现金净增加额 。
NET_INCR_LOANS_OTHER_BANK (拆入资金净增加额): 企业与金融机构或其他企业之间产生的资金借入/借出资金的增加净额;反映证券公司本期从境内外金融机构拆入款项所取得的现金 。
NET_INCR_REPURCH_BUS_FUND (回购业务资金净增加额): 证券买卖双方在成交同时就约定于未来某一时间以某一价格双方再进行反向成交所产生的资金增加净额 。
RECP_RAL_OTHER_CASH_OPER_ACT (收到其他与经营活动有关的现金): 除主营外,其他与经营有关的现金活动,如罚款收入、流动资产损失中由个人赔偿的现金收入等 。
STOT_CASH_INFLOWS_OPER_ACT (经营活动现金流入小计): 与经营活动相关的现金流量的明细统计;指企业从事经营所获得的收入 。
CASH_PAY_GOODS_PURCH_SERV_REC (购买商品、接受劳务支付的现金): 本期购入商品、接受劳务支付的现金,以及本期支付前期购入商品、接受劳务的未付款项和本期预付款项 。
CASH_PAY_BEH_EMPL (支付给职工以及为职工支付的现金): 企业实际支付给职工的现金以及为职工支付的现金,包括职工的工资、奖金、各种津贴和补贴等 。
PAY_ALL_TYPES_TAX (支付的各项税费): 企业支付的所得税、增值税、营业税、消费税、印花税、房产税、土地增值税、车船税、教育费附加、矿产资源补偿费等等费用的金额 。
NET_INCR_CLIENTS_LOAN_ADV (客户贷款及垫款净增加额): 针对公司或个人发放的贷款、因办理承兑汇票及贴现和转贴现、开出保函或信用证以及其他业务而发生的各项贷款等的增加额 。
NET_INCR_DEP_CBOB (存放央行和同业款项净增加额): 银行存放在央行或者其他银行或金融机构的增加净额;反映商业银行本期存放于中央银行以及境内外金融机构的款项的净增加额 。
CASH_PAY_CLAIMS_ORIG_INCO (支付原保险合同赔付款项的现金): 以现金支付和预付给被保险人的赔付款及退保金;反映保险公司本期实际支付原保险合同赔付的现金 。
HANDLING_CHRG_PAID (支付手续费的现金): 用于支付银行汇款手续费的支出;指涉及到贷款利息,银行扣缴的手续费等现金的流出 。
COMM_INSUR_PLCY_PAID (支付保单红利的现金): 根据保险合同的约定,按照分红保险产品产品的红利分配方法及有关精算结果而估算,支付给保单持有人的红利 。
OTHER_CASH_PAY_RAL_OPER_ACT (支付其他与经营活动有关的现金): 经营活动相关的现金流支出中无法纳入明确分类中的其他经营活动现金 。
STOT_CASH_OUTFLOWS_OPER_ACT (经营活动现金流出小计): 企业经营过程中所产生的与经营活动相关的现金流出的金额的合计值 。
NET_CASH_FLOWS_OPER_ACT (经营活动产生的现金流量净额): 与经营活动相关的现金流量的净增加或减少的金额是指企业与经营活动有关的现金流入金额减去现金流出净额 。
CASH_RECP_DISP_WITHDRWL_INVEST (收回投资收到的现金): 反应企业出售、转让或者到期收回除现金等价物外的交易性金融资产、持有至到期投资、可供出售金融资产、长期股权投资等而收回的现金 。
CASH_RECP_RETURN_INVEST (取得投资收益收到的现金): 企业因股权性投资而分得的的现金股利,因债权性投资而取得的现金利息收入 。
NET_CASH_RECP_DISP_FIOLTA (处置固定、无形资产和其他长期资产收回的现金净额): 出售固定资产、无形资产和其他长期资产所取得的现金,扣除为处置这些资产所支付的有关费用后的净额 。
NET_CASH_RECP_DISP_SOBU (处置子公司及其他营业单位收到的现金净额): 企业出售其子公司及其他除子公司以为的拥有股权的单位收到的现金净额 。
OTHER_CASH_RECP_RAL_INV_ACT (收到其他与投资活动有关的现金): 投资活动相关的现金流收入中,无法纳入明确分类中的其他投资活动现金 。
STOT_CASH_INFLOWS_INV_ACT (投资活动现金流入小计): 与投资活动相关的现金流量的明细统计;反映企业投资活动有关的现金流入科目金额合计 。
CASH_PAY_ACQ_CONST_FIOLTA (购建固定资产、无形资产和其他长期资产支付的现金): 用于固定资产、无形资产、其他长期资产等购置所支付的现金 。
CASH_PAID_INVEST (投资支付的现金): 企业进行权益性投资和债权性投资所支付的现金 。
NET_CASH_PAY_AQUIS_SOBU (取得子公司及其他营业单位支付的现金净额): 企业出资建立子公司或与人共同合资建立公司所支付的现金净额 。
OTHER_CASH_PAY_RAL_INV_ACT (支付其他与投资活动有关的现金): 投资活动相关的现金流支出中无法纳入明确分类中的其他投资活动现金 。
NET_INCR_PLEDGE_LOAN (质押贷款净增加额): 按照法律法规固定的质押方式以借款人或第三人的动产或权利为质押物发放的贷款的增加净额 。
STOT_CASH_OUTFLOWS_INV_ACT (投资活动现金流出小计): 企业经营过程中所产生的与投资活动相关的现金流出的金额的合计值 。
NET_CASH_FLOWS_INV_ACT (投资活动产生的现金流量净额): 与投资活动相关的现金流量的增加或减少的金额;是指企业与投资活动有关的现金流入金额减去现金流出金额 。
CASH_RECP_CAP_CONTRIB (吸收投资收到的现金): 反映投资者投入到企业的现金权益性资本投资,包括以发行股票、债券等方式筹集的资金实际收到的股款净额等 。
INCL_CASH_REC_SAIMS (其中:子公司吸收少数股东投资收到的现金): 子公司少数股东增加在子公司的增加导致企业的货币资金增加,是企业内部融资的一种方式 。
CASH_RECP_BORROW (取得借款收到的现金): 因短期借款及长期借款而获取的现金;反映企业举借各种短期、长期借款而收到的现金,以及发行债券实际收到的款项净额 。
PROC_ISSUE_BONDS (发行债券收到的现金): 发行人以借贷资金为目的,依照法律规定的程序向投资人要约发行代表一定债权和对付条件的债券的法律行为而收取的资金 。
OTHER_CASH_RECP_RAL_FNC_ACT (收到其他与筹资活动有关的现金): 筹资活动相关的现金流中,无法纳入明确分类中的其他筹资活动现金 。
STOT_CASH_INFLOWS_FNC_ACT (筹资活动现金流入小计): 与筹资活动相关的现金流量的明细统计;反映企业与筹资活动有关的现金流入科目金额合计 。
CASH_PREPAY_AMT_BORR (偿还债务支付的现金): 偿还银行借款的本金和偿还企业债券的本金 。
CASH_PAY_DIST_DPCP_INT_EXP (分配股利、利润或偿付利息支付的现金): 反映企业实际支付的现金股利,以及支付给其他投资单位的利润 。
INCL_DVD_PROFIT_PAID_SC_MS (其中:子公司支付给少数股东的股利、利润): 子公司将现金股利或利润支付给少数股东 。
OTHER_CASH_PAY_RAL_FNC_ACT (支付其他与筹资活动有关的现金): 筹资活动相关的现金流支出中无法纳入明确分类中的其他筹资活动现金 。
STOT_CASH_OUTFLOWS_FNC_ACT (筹资活动现金流出小计): 企业经营过程中所产生的与筹资活动相关的现金流出的金额的合计值 。
NET_CASH_FLOWS_FNC_ACT (筹资活动产生的现金流量净额): 与筹资活动相关的现金流量的净增加或减少的金额;是指企业与筹资活动有关的现金流入金额减去现金流出净额 。
EFF_FX_FLU_CASH (汇率变动对现金的影响): 通过将企业外币现金流量折算成记账本位币,而在过程中产生的影响 。
NET_INCR_CASH_CASH_EQU (现金及现金等价物净增加额): 报表期间内现金及融资期限为三个月或三个月内的,具有高度流动性且内购赚取利息的投资的增加金额 。
CASH_CASH_EQU_BEG_PERIOD (期初现金及现金等价物余额): 报表起始日期现金及融资期限为三个月或三个月内的,具有高度流动性且内购赚取利息的投资的余额 。
CASH_CASH_EQU_END_PERIOD (期末现金及现金等价物余额): 报表截止日期现金及融资期限为三个月或三个月内的,具有高度流动性且内购赚取利息的投资的余额 。
NET_PROFIT (净利润): 企业当期利润总额减去所得税后的金额,即税后利润 。
UNCONFIRMED_INVEST_LOSS (未确认投资损失): 子公司资不抵债额;实际上为子公司的资不抵债额 。
PLUS_PROV_DEPR_ASSETS (加:资产减值准备): 由于固定资产市价持续下跌,或者技术陈旧、损坏、长期闲置等原因导致其可回收金额低于账面价值的,应当将可收回金额低于其账面价值的差额作为减值准备金额 。
DEPR_FA_COGA_DPBA (固定资产折旧、油气资产折耗、生产性生物资产折旧): 因固定资产、油气资产、生产性生物资产按会计准则要求发生折旧在本报告期的体现 。
AMORT_INTANG_ASSETS (无形资产摊销): 对无形资产原价在其有效期限内的摊销的方法计入报告期内的金额 。
AMORT_LT_DEFERRED_EXP (长期待摊费用摊销): 企业已经支出,但摊销期限在一年以上的各项费用进行摊销的经济管理活动 。
DECR_DEFERRED_EXP (待摊费用减少): 支出但应由本期和以后各期分别负担的各项费用,如低值易耗品摊销、一次指出数额较大的财产保险费等费用的减少 。
INCR_ACC_EXP (预提费用增加): 由收益期分担计入产品成本或商品流通费,而以后月份才实际支付的费用的增加 。
LOSS_DISP_FIOLTA (处置固定、无形资产和其他长期资产的损失): 根据企业对固定资产、无形资产和其他长期资产后,发生的经济损失的金额 。
LOSS_SCR_FA (固定资产报废损失): 固定资产由于参加生产或某种特殊原因,丧失其使用价值而发生的报废的损失 。
LOSS_FV_CHG (公允价值变动损失): 交易性金融资产因公允价值的变动而形成的损失 。
FIN_EXP (财务费用): 企业为筹集生产经营所需资金等而发生的费用 。
INVEST_LOSS (投资损失): 企业发生的不良股权或者债权投资造成的损失 。
DECR_DEFERRED_INC_TAX_ASSETS (递延所得税资产减少): 未来预计可以用来抵稅的资产减少;说明以后期间企业实际缴纳的所得税将会增加 。
INCR_DEFERRED_INC_TAX_LIAB (递延所得税负债增加): 未来预计可以用来抵税的资产的增加;递延所得税负债是由应纳税暂时性差异产生的 。
DECR_INVENTORIES (存货的减少): 企业在日常活动中持有出售的产成品或商品、处在生产过程中的在产品、在生产过程或提供劳务过程中耗用的材料、物料的减少金额 。
DECR_OPER_PAYABLE (经营性应收项目的减少): 应收账款、应收票据、预付账款、其他应收款等于经营有关的往来项目的减少 (注：根据原始文档结构提取，原文字段存在逻辑交叉) 。
INCR_OPER_PAYABLE (经营性应付项目的增加): 应收账款、应收票据、预付账款、其他应收款等于经营有关的往来项目的增加 (注：根据原始文档结构提取，原文字段存在逻辑交叉) 。
IM_NET_CASH_FLOWS_OPER_ACT (间接法-经营活动产生的现金流量净额): 以利润表中的净利润为起始项,通过补充资料中的计算方式得出的经营活动产生的现金流量净额 。
CONV_DEBT_INTO_CAP (债务转为资本): 债务人将债务转为资本,同时债权人将债权转为股权的债务重组方式 。
CONV_CORP_BONDS_DUE_WITHIN_1Y (一年內到期的可转换公司债券): 一年内到期的可转换为被投资企业股权的公司债券 。
FA_FNC_LEASES (融资租入固定资产): 企业由于资金不足,或因资金周转暂时困难,或为了减少投资风险,接住了租赁公司或其他金融机构的资金而租入的固定资产 。
END_BAL_CASH (现金的期末余额): 资产负债表中的货币资金的期末余额 。
LESS_BEG_BAL_CASH (减:现金的期初余额): 本年累计金额里资产负债表的货币资金年初数或月度报表里的上月期末数值 。
PLUS_END_BAL_CASH_EQU (加:现金等价物的期末余额): 用于计量资产负债表的货币资金期末余额;可以随时用于支付的现金及可以快速变现的金融产品(如短期债券等)的年末值 。
LESS_BEG_BAL_CASH_EQU (减:现金等价物的期初余额): 上年度结转至本年度可供本期周转使用的现金及其等价物的金额 。
IM_NET_INCR_CASH_CASH_EQU (间接法-现金及现金等价物净增加额): 通过资产负债表中的货币资金期初期末余额填制,通过计算得出的现金及现金等价物净增加额 。
FREE_CASH_FLOW (企业自由现金流量(FCFF)): 在不影响公司持续发展的前提下,可供分配给股东和债权人的最大现金额,是用于衡量企业实际持有的能够回报股东的现金指标 。
COMP_TYPE_CODE (公司类型代码): 1非金融类 2银行 3保险 4证券 。
ACTUAL_ANN_DT (实际公告日期): 上市公司定期报告披露的公告日期;用于记录定期报告的实际披露日期 。
SPE_BAL_CASH_INFLOWS_OPER (经营活动现金流入差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的经营活动现金流入科目明细 。
TOT_BAL_CASH_INFLOWS_OPER (经营活动现金流入差额(合计平衡项目)): 现金流量表中,经营活动现金流入合计与明细科目之间的差额 。
SPE_BAL_CASH_OUTFLOWS_OPER (经营活动现金流出差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的经营活动现金流出科目明细 。
TOT_BAL_CASH_OUTFLOWS_OPER (经营活动现金流出差额(合计平衡项目)): 现金流量表中,经营活动现金流出合计与明细科目之间的差额 。
TOT_BAL_NETCASH_OUTFLOWS_OPER (经营活动产生的现金流量净额差额(合计平衡项目)): 现金流量表中,经营活动产生的现金流量净额科目之间的差额 。
SPE_BAL_CASH_INFLOWS_INV (投资活动现金流入差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的投资活动现金流入科目明细 。
TOT_BAL_CASH_INFLOWS_INV (投资活动现金流入差額(合计平衡项目)): 现金流量表中,投资活动现金流入合计与明细科目之间的差额 。
SPE_BAL_CASH_OUTFLOWS_INV (投资活动现金流出差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的投资活动现金流出科目明细 。
TOT_BAL_CASH_OUTFLOWS_INV (投资活动现金流出差额(合计平衡项目)): 现金流量表中,投资活动现金流出合计与明细科目之间的差额 。
TOT_BAL_NETCASH_OUTFLOWS_INV (投资活动产生的现金流量净额差额(合计平衡项目)): 现金流量表中,投资活动产生的现金流量净额合计与明细科目之间的差额 。
SPE_BAL_CASH_INFLOWS_FNC (筹资活动现金流入差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的筹资活动现金流入科目明细 。
TOT_BAL_CASH_INFLOWS_FNC (筹资活动现金流入差额(合计平衡项目)): 现金流量表中,筹资活动现金流入合计与明细科目之间的差额 。
SPE_BAL_CASH_OUTFLOWS_FNC (筹资活动现金流出差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的筹资活动现金流出科目明细 。
TOT_BAL_CASH_OUTFLOWS_FNC (筹资活动现金流出差额(合计平衡项目)): 现金流量表中,筹资活动现金流出合计与明细科目之间的差额 。
TOT_BAL_NETCASH_OUTFLOWS_FNC (筹资活动产生的现金流量净额差额(合计平衡项目)): 现金流量表中,筹资活动产生的现金流量净额合计与明细科目之间的差额 。
SPE_BAL_NETCASH_INC (现金净增加额差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的现金净增加额科目明细 。
TOT_BAL_NETCASH_INC (现金净增加额差额(合计平衡项目)): 现金流量表中,现金净增加额合计与明细科目之间的差额 。
SPE_BAL_NETCASH_EQU_UNDIR (间接法-经营活动现金流量净额差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的间接法-经营活动现金流量净额科目明细 。
TOT_BAL_NETCASH_EQU_UNDIR (间接法-经营活动现金流量净额差额(合计平衡项目)): 现金流量表中,间接法-经营活动现金流量净额合计与明细科目之间的差额 。
SPE_BAL_NETCASH_INC_UNDIR (间接法-现金净增加额差额(特殊报表科目)): 企业根据本身业务披露的,非万得标准的间接法-现金净增加类科目明细 。
TOT_BAL_NETCASH_INC_UNDIR (间接法-现金净增加额差額(合计平衡项目)): 现金流量表中,间接法-现金净增加合计与明细科目之间的差额 。
S_INFO_COMPCODE (公司ID): 万得自定义的用来识别公司的唯一编码;各交易所上市品种的挂牌代码,场外品种的交易代码为万得自定义 。
CAPITAL_ADS_DISMANTLED_NET (拆出资金净增加额): 企业与金融机构或其他企业之间产生的资金借入/借出资金的减少净额 。
IS_CALCULATION (是否计算报表): 用于区分数据为原始公布还是计算的标识 。
SECURITIE_NETCASH_RECEIVED (代理买卖证券收到的现金净额(元)): 公司接受客户委托,代理客户买卖股票、债券和基金等有价证券而收到的款项净额 。
OTHER_IMPAIR_LOSS_ASSETS (其他资产减值损失): 因资产账面价值高于其可回收金额而造成的损失 。
CREDIT_IMPAIRMENT_LOSS (信用减值损失): 因应收账款的账面价值高于其可收回金额而造成的损失 。
RIGHT_USE_ASSETS_DEP (使用权资产折旧): 对承租人在可租赁期间内使用租赁资产的权利的,按照会计准则分摊至个月的金额 。
OTHER_ACCOUNTS (其他会计科目): 补充资料中除万得标准科目外的其他参与计算的科目 。
MELT_MONEY_NET_INCREASE (融出资金净增加额): 企业将自有资金融出给其他企业或个人,以获取收益的行为 。
SEC_FA_NET_FINA_INSTRUMENTS (以公允价值计量且其变动计入当期损益的金融工具净增加额): 券商专用 。
